PLAYER,TEAM,POS,POS2,評分,排名,真實薪水,評估薪水,Diff
Marcus Smart,LAL,Combo,SG,4.3 ,175,"$5,134,000 ","$10,167,188 ","$5,033,188 "
Donovan Clingan,POR,Center,C,4.2 ,176,"$7,178,400 ","$9,714,632 ","$2,536,232 "
Guerschon Yabusele,NYK,Big,C,4.2 ,177,"$5,500,000 ","$9,714,632 ","$4,214,632 "
Kentavious Caldwell-Pope,MEM,Wing,SG,4.2 ,178,"$21,621,500 ","$9,714,632 ","($11,906,868)"
Kel'el Ware,MIA,Center,C,4.2 ,179,"$4,443,360 ","$9,714,632 ","$5,271,272 "
Jose Alvarado,NOP,Point,PG,4.2 ,180,"$4,500,000 ","$9,714,632 ","$5,214,632 "
Sam Hauser,BOS,Forward,SF,4.2 ,181,"$10,044,644 ","$9,714,632 ","($330,012)"
Jonathan Isaac,ORL,Big,PF,4.2 ,182,"$15,000,000 ","$9,714,632 ","($5,285,368)"
Zaccharie Risacher,ATL,Forward,SF,4.2 ,183,"$13,197,720 ","$9,714,632 ","($3,483,088)"
Isaiah Joe,OKC,Wing,SG,4.1 ,184,"$12,362,338 ","$9,272,546 ","($3,089,792)"
Duncan Robinson,DET,Wing,SF,4.1 ,185,"$16,834,692 ","$9,272,546 ","($7,562,146)"
Lonzo Ball,CLE,Point,PG,4.1 ,186,"$10,000,000 ","$9,272,546 ","($727,454)"
Tre Jones,CHI,Point,PG,4.1 ,187,"$8,000,000 ","$9,272,546 ","$1,272,546 "
Nikola Jović,MIA,Forward,PF,4.1 ,188,"$4,445,417 ","$9,272,546 ","$4,827,129 "
Brandon Clarke,MEM,Big,C,4.1 ,189,"$12,500,000 ","$9,272,546 ","($3,227,454)"
Davion Mitchell,MIA,Point,PG,4.1 ,190,"$11,600,000 ","$8,841,141 ","($2,758,859)"
Miles McBride,NYK,Combo,SG,4.1 ,191,"$4,333,333 ","$8,841,141 ","$4,507,808 "
Keldon Johnson,SAS,Forward,SF,4.1 ,192,"$17,500,000 ","$8,841,141 ","($8,658,859)"
Sam Merrill,CLE,Wing,SG,4.1 ,193,"$8,482,144 ","$8,841,141 ","$358,997 "
Kevin Porter Jr.,MIL,Combo,PG,4.1 ,194,"$5,134,000 ","$8,841,141 ","$3,707,141 "
Jeremy Sochan,SAS,Forward,PF,4.0 ,195,"$7,096,231 ","$8,420,615 ","$1,324,384 "
Matisse Thybulle,POR,Wing,SF,4.0 ,196,"$11,550,000 ","$8,420,615 ","($3,129,385)"
Luke Kennard,ATL,Combo,PG,4.0 ,197,"$11,000,000 ","$8,420,615 ","($2,579,385)"
Nicolas Batum,LAC,Big,PF,4.0 ,198,"$5,601,600 ","$8,420,615 ","$2,819,015 "
