Rank,PLAYER,TEAM,POS,POS',評分,真實薪水,評估薪水,差額
221,Kevon Looney,NOP,C,Center,3.7 ,"$8,000,000 ","$6,486,704 ","-$1,513,296"
222,Gradey Dick,TOR,SF,Wing,3.7 ,"$4,990,560 ","$6,486,704 ","$1,496,144"
223,Max Christie,DAL,SG,Wing,3.7 ,"$7,714,286 ","$6,486,704 ","-$1,227,582"
224,Jalen Smith,CHI,C,Center,3.7 ,"$9,000,000 ","$6,486,704 ","-$2,513,296"
225,De'Anthony Melton,GSW,SG,Combo,3.7 ,"$2,296,274 ","$6,486,704 ","$4,190,430"
226,Alex Sarr,WAS,C,Center,3.6 ,"$11,808,240 ","$6,134,502 ","-$5,673,738"
227,Day'Ron Sharpe,BKN,C,Center,3.6 ,"$5,769,231 ","$6,134,502 ","$365,271"
228,Zach Collins,CHI,C,Center,3.6 ,"$18,080,496 ","$6,134,502 ","-$11,945,994"
229,Taurean Prince,MIL,SF,Wing,3.6 ,"$3,303,774 ","$6,134,502 ","$2,830,728"
230,Larry Nance Jr.,CLE,C,Big,3.6 ,"$2,296,274 ","$6,134,502 ","$3,838,228"
231,Isaac Okoro,CHI,SF,Forward,3.6 ,"$11,000,000 ","$6,134,502 ","-$4,865,498"
232,Jusuf Nurkić,UTA,C,Center,3.5 ,"$19,375,000 ","$5,794,011 ","-$13,580,989"
233,Scoot Henderson,POR,PG,Point,3.5 ,"$10,748,040 ","$5,794,011 ","-$4,954,029"
234,Ziaire Williams,BKN,SF,Wing,3.5 ,"$5,769,231 ","$5,794,011 ","$24,780"
235,Jake LaRavia,LAL,SF,Forward,3.5 ,"$6,000,000 ","$5,794,011 ","-$205,989"
236,Gary Payton II,GSW,SG,Wing,3.5 ,"$2,296,274 ","$5,794,011 ","$3,497,737"
237,Isaiah Stewart,DET,C,Center,3.5 ,"$15,000,000 ","$5,794,011 ","-$9,205,989"
238,Keyonte George,UTA,SG,Combo,3.5 ,"$4,278,960 ","$5,794,011 ","$1,515,051"
239,Kenrich Williams,OKC,PF,Big,3.5 ,"$7,163,000 ","$5,465,267 ","-$1,697,733"
240,Haywood Highsmith,BKN,PF,Forward,3.5 ,"$5,616,000 ","$5,465,267 ","-$150,733"
241,Spencer Dinwiddie,CHA,PG,Combo,3.5 ,"$2,296,274 ","$5,465,267 ","$3,168,993"
242,Jay Huff,IND,C,Center,3.5 ,"$2,349,578 ","$5,465,267 ","$3,115,689"
243,Danté Exum,DAL,SG,Combo,3.5 ,"$2,296,274 ","$5,465,267 ","$3,168,993"
244,Cam Whitmore,WAS,SF,Forward,3.5 ,"$3,539,760 ","$5,465,267 ","$1,925,507"
245,Tre Johnson,WAS,SG,Wing,3.4 ,"$8,237,640 ","$5,148,282 ","-$3,089,358"
246,Cole Anthony,MIL,PG,Point,3.4 ,"$2,296,274 ","$5,148,282 ","$2,852,008"
247,Grant Williams,CHA,PF,Big,3.4 ,"$13,645,500 ","$5,148,282 ","-$8,497,218"
248,Quinten Post,GSW,C,Center,3.4 ,"$1,955,377 ","$5,148,282 ","$3,192,905"
249,Kyle Filipowski,UTA,C,Big,3.3 ,"$3,000,000 ","$4,843,050 ","$1,843,050"
250,Matas Buzelis,CHI,PF,Forward,3.3 ,"$5,455,560 ","$4,843,050 ","-$612,510"
251,Ace Bailey,UTA,SF,Wing,3.3 ,"$9,069,840 ","$4,843,050 ","-$4,226,790"
252,Paul Reed,DET,C,Center,3.3 ,"$5,335,894 ","$4,843,050 ","-$492,844"
253,Vít Krejčí,ATL,SG,Wing,3.3 ,"$2,349,578 ","$4,843,050 ","$2,493,472"
254,Tre Mann,CHA,PG,Combo,3.3 ,"$8,000,000 ","$4,843,050 ","-$3,156,950"
255,Bruce Brown,DEN,SG,Combo,3.3 ,"$2,296,274 ","$4,843,050 ","$2,546,776"
256,Saddiq Bey,NOP,PF,Forward,3.3 ,"$6,118,644 ","$4,843,050 ","-$1,275,594"
